ID,Type,Task Name,Category,Priority,Draft Scenario,Description,Dependencies,Effort (hrs),Assignee,Status,Notes
MG-05,Minigame,NIS 72-Hour Notification Clock,Ambient countdown timer display,Low,No,"Ambient countdown display on SCADA control room smartscreen. 72-hour countdown starts on anomaly_detected=true. Colour transitions: green (>48h remaining) to amber (24–48h) to red (<24h). Stops and shows green confirmation animation on ncsc_notified=true. See minigame_planning.md MG-07.",ENG-06,4,,,"Low implementation cost; reinforces NIS regulatory time pressure throughout play without requiring active player input"
VM-01,VM Challenge,SCADA Historian Trend Viewer,vm (browser-based),High,Yes,"Hacktivity VM: albion_scada_historian. Browser-based historian trend viewer showing Rack A1–A4 temperature data over 24 hours. Rack A1 shows flat-line anomaly from 23:12 (sensor data falsification IoC). Flag embedded in anomaly timestamp identification. All four rack trends viewable for cross-comparison. Flag: albion_scada_historian:historian_flag. Sets historian_flatline_found=true via flagReward on submission. See minigame_planning.md MG-02.",,24,,,"Core investigation challenge; flat-line sensor trace is primary anomaly IoC; all four racks must be viewable for cross-comparison"
VM-02,VM Challenge,Jump Server Access Log Analyser,vm (browser-based),High,Yes,"Hacktivity VM: albion_eng_workstation. Simulated jump server session log viewer. c.ellison dormant contractor account shows active RDP session from 01:47. Account investigation popup with flag generation on selection. SIS Engineering Interface tab shows audit log of setpoint modifications at 03:22. Flag: albion_eng_workstation:jump_server_flag. Sets jump_server_confirmed=true via flagReward. See minigame_planning.md MG-04.",,20,,,"Two discovery moments in one VM: dormant account RDP IoC + SIS setpoint modification audit log at 03:22"
ASSET-01,Asset,Priya Chandra — Engineer Female Sprite,Character sprite,High,No,"engineer_female character sprite sheet. Navy coverall with hi-vis strips and hard hat. Animations: idle (2-frame) / talk (4-frame) / walk (4-frame, 4 directions). Headshot portrait for dialogue box. Match BreakEscape standard sprite sheet dimensions and frame layout. See new_objects_planning.md section 3.1.","ASSET-01-PLACEHOLDER",0,,,PLACEHOLDER: Created from male_nerd.png; replace with commissioned art
ASSET-02,Asset,Dr Nalini Bashir — Inspector Female Sprite,Character sprite,High,No,"inspector_female character sprite sheet. Dark suit jacket with NCSC-HSE lanyard and clipboard. Animations: idle / talk / walk. Headshot portrait. Designed to work with ENG-07 fade-in reveal effect. See new_objects_planning.md section 3.2.","ASSET-02-PLACEHOLDER",0,,,PLACEHOLDER: Created from female_security_guard.png; replace with commissioned art
ASSET-03,Asset,SCADA Control Room — Room Tile Set,Room tilemap,High,No,"room_scada_control room type tilemap. SCADA workstation desks with monitor clusters (north wall). Wall-mounted alarm panel position (east wall). Smartscreen position (west wall). Incident Response folder holder mount. NIS form holder mount. Door positions north to battery hall / east to engineering workshop. 10×12 tile grid. See new_objects_planning.md section 3.3.",,0,,,"Effort tracked separately by art team; currently using room_office placeholder"
ASSET-04,Asset,Battery Hall — Room Tile Set,Room tilemap,High,No,"room_battery_hall room type tilemap. Battery rack array (Racks A1–A4) as wall elements with ambient amber LED indicators. Industrial ceiling with cable conduit. ESD housing wall mount (north wall). Analog thermometer wall mount (east wall beside Rack A1). Entry door south to SCADA control room. 10×16 tile grid. See new_objects_planning.md section 3.4.",,0,,,"Effort tracked separately by art team; battery rack visual design critical for physical/digital coherence"
ASSET-05,Asset,Engineering Workshop — Room Tile Set,Room tilemap,Medium,No,"room_engineering_workshop room type tilemap. Server rack with amber LED indicator (jump server). Engineering workstation with dual monitors. Corkboard with printed notes. Cable management panel with Ethernet locker (solenoid lock). Entry door west to SCADA control room. 10×10 tile grid. See new_objects_planning.md section 3.5.",,0,,,"Effort tracked separately by art team; server rack amber LED should draw player attention to jump server object"
ASSET-06,Asset,ESD Pushbutton — Object Sprite,Object sprite,High,No,"esd_button object sprite. Three animation frames: armed (guard down; button red) / guard_open (guard raised; button accessible) / activated (button depressed; LED green). Yellow housing with large red mushroom-head button. Physical prop design must closely match sprite. See new_objects_planning.md section 2.1.",OBJ-01,0,,,"Effort tracked separately by art team; physical prop maker needs sprite reference art before fabrication"
ASSET-07,Asset,Alarm Panel — Object Sprite,Object sprite / SVG,High,No,"alarm_panel object art. 8 individually addressable lamp positions: SCADA COMM / SIS STATUS / RACK A1 TEMP / RACK A2 TEMP / RACK A3 TEMP / RACK A4 TEMP / NETWORK / H2 LEVEL. Three lamp states per position: green / amber / red. Flash animation for critical lamps. SVG preferred for digital version to support per-lamp state updates via WebSocket. See new_objects_planning.md section 2.2.",MG-03,0,,,"Effort tracked separately by art team; SVG format enables WebSocket-driven per-lamp state updates without full reload"
ENG-01,Engine,State-Reactive Alarm Panel Driver,BreakEscape engine,High,No,"Game server event handler mapping globalVariable change events to alarm panel lamp states. Subscribes to global_variable_changed; evaluates lamp-to-variable mapping config; emits lamp state commands. Physical output: GPIO relay per lamp. Digital output: WebSocket push to SVG panel renderer. Configurable lamp-to-variable mapping defined in scenario config. Reusable across scenarios.",,12,,,"Core engine behaviour for MG-03 and ASSET-07; reusable for any BreakEscape scenario with physical or digital alarm panels"
ENG-02,Engine,Timed State Escalation Engine,BreakEscape engine,Medium,No,"Game server timer system. Config fields per timer: startOnGlobal / threshold_minutes / setGlobal / cancelOnGlobal. On startOnGlobal event: start countdown. On threshold elapsed: fire setGlobal action. On cancelOnGlobal event: cancel timer. Supports multiple simultaneous named timers. Used for H₂ escalation (T+22m advisory; T+40m evacuation). Generalised for reuse across scenarios.",,10,,,"Required by MG-04 and ENG-05; generalise for reuse across all BreakEscape scenarios with timed consequences"
ENG-03,Engine,Item Conditional Visibility,BreakEscape engine,Medium,No,"Extend object schema with visibleWhen: { globalVar: value } field. Room renderer hides object until condition met; object is non-interactable while hidden; appears with brief reveal animation on condition met. Required for OBJ-02 plant room badge (hidden until priya_briefed=true).",,6,,,"Required by OBJ-02; pattern applicable to any object gated by prior player actions"
ENG-04,Engine,Container Solenoid Lock Release,BreakEscape engine,Medium,No,"Extend container schema with lockedUntilGlobal: { var: value } field. When global reaches value: game server fires GPIO solenoid release (physical) or removes lock overlay (digital). Used for engineering workshop Ethernet cable management panel (locked until jump_server_confirmed=true).",,8,,,"Physical solenoid wiring required for escape room installation; digital version: visual lock icon removed on condition met"
ENG-05,Engine,Compound Condition Trigger,BreakEscape engine,Low,No,"Multi-variable boolean condition evaluator. Evaluates compound expression (esd_activated AND (jump_server_confirmed OR network_isolated)) and sets facility_safe_state=true when met. Current prototype approximates with single network_isolated trigger on Priya's eventMapping — works for normal play path but fails if ESD not pressed. Full implementation replaces the approximation.",ENG-02,6,,,"Prototype approximation documented via TODO comment in scenario.json.erb; holds for standard play path"
ENG-06,Engine,Ambient Countdown Timer Display,BreakEscape engine,Low,No,"Ambient timer object type. Config: duration_hours / startOnGlobal / completeOnGlobal / colourThresholds. Counts down from duration when startOnGlobal set. Colour transitions at threshold values. Shows completion animation when completeOnGlobal set. Used for MG-05 NIS 72-hour notification clock.",,4,,,"Low complexity; used by MG-05; reusable for any regulatory or operational deadline display"
ENG-07,Engine,NPC Fade-In Reveal Animation,BreakEscape engine,Low,No,"When an initiallyHidden NPC becomes visible via eventMapping, play a 0.5s fade-in animation rather than instant appearance. Improves dramatic reveal moment for Dr Nalini Bashir's debrief entrance. Requires NPC renderer to support opacity transition on show event.",,3,,,"Low effort polish; makes the Dr Bashir reveal feel deliberate; applicable to any future initially-hidden NPCs"
TEST-01,Test,Scenario Load and Validation,Test,High,Yes,"Run BreakEscape scenario validator on scenario.json.erb. Resolve all schema validation errors. Verify all cross-references: NPC IDs / object IDs / task targetObjects / room connections / lock references. Verify all globalVariables referenced in eventMappings are declared. Verify ERB template renders without error (esd_pin and hmi_password generate correctly).",,2,,,"First test to run; blocks all other testing"
TEST-02,Test,Ink Compilation — All 4 NPCs,Test,High,Yes,"Compile all four .ink files to .json using Inky or inklecate. Files: npc_priya_chandra.ink / npc_marcus_webb.ink / npc_tom_hadley.ink / npc_dr_bashir.ink. Verify zero compilation errors. Verify all knot name references valid. Verify all #complete_task task IDs and #set_global variable names match declarations in scenario.json.erb.",TEST-01,3,,,"Run after TEST-01 passes; prerequisite for TEST-04"
TEST-03,Test,Full Play-Through — Mandatory Objective Path,Test,High,Yes,"Complete mandatory objective path (Aims 1–8 and Aim 10 debrief) using only draft-implemented features. Verify in sequence: Priya timedConversation fires on room entry; walkdown aim unlocks; battery hall RFID unlock works; thermometer onRead sets anomaly_detected; historian flag-station submission works; workshop RFID unlock works; engineering VM flag sets jump_server_confirmed; ESD PIN sets esd_activated; Tom Hadley call sets network_isolated; Dr Bashir reveals and debrief completes.",TEST-02,4,,,"Core smoke test for draft scenario; verifies all global variable transitions on mandatory path"
TEST-04,Test,Ink Dialogue Branch Coverage,Test,High,Yes,"Play through all major Ink dialogue branches. Verify: Priya hub updates correctly on anomaly_detected and esd_activated; Marcus Webb delivers ESD PIN via timedMessage after marcus_webb_contacted=true; Tom Hadley Trent Water thread unlocks after historian_flatline_found=true; Dr Bashir patch_decision=active_management and patch_decision=deferral both record correctly and deliver differentiated feedback.",TEST-02,3,,,"Tests NPC state-reactivity; run after Ink compilation passes"
TEST-05,Test,Physical Prop Integration Test,Test,High,No,"Test all physical prop integrations in escape room setup: ESD GPIO relay fires on esd_activated=true; alarm panel lamp state transitions match global variable changes; analog thermometer legible at 51°C from player standing position; Ethernet cable contact sensor triggers in engineering workshop; plant room RFID badge reader reads badge; engineering workshop RFID reader reads workshop badge.","MG-01, MG-03, OBJ-01",8,,,"Requires full physical escape room setup; cannot be run in digital-only mode"
TEST-06,Test,Optional Objective — Trent Water Path,Test,Low,No,"Verify optional Aim 9: Tom Hadley timed message fires after historian_flatline_found=true; trent_water_notification aim unlocks; call_trent_water task completes via Tom Hadley Ink dialogue; trent_water_notified global set; Dr Bashir trent_water_review topic becomes available and describes Trent Water finding correctly.",,2,,,"Optional objective; test after TEST-04 passes"
TEST-07,Test,Timed Escalation Regression Test,Test,Medium,No,"Verify H₂ escalation timer accuracy. Confirm T+22m advisory fires on anomaly_detected=true. Confirm T+40m evacuation fires if esd_activated remains false. Confirm escalation cancels on esd_activated=true. Edge case: ESD pressed at exactly T+22m — confirm no double advisory fire. Edge case: anomaly_detected then immediately esd_activated — confirm no advisory fires.","ENG-02, MG-04",3,,,"Test cancel-before-threshold edge cases explicitly"
MG-06,Minigame,Network Architecture Diagram — Purdue Model,SVG minigame or readable smartscreen,High,Yes,"Purdue Model visualization of Albion facility network architecture. SVG interactive diagram or formatted text display showing five Purdue levels with colour-coded zones (red: Enterprise IT/DMZ; amber: Operations SCADA; green: Safety systems). Shows all systems and connection types directly sourced from case_2_energy/information_pack/system_architecture/network_architecture.md. Click-enabled attack path highlighting for vulnerability discovery. Implements claims EN-001, EN-002, EN-011 visualization. See minigame_planning.md MG-06.",VM-02,18,,,"Direct use of information pack architecture; shows IT/OT boundary and SIS vulnerability; interactive or text display acceptable for draft"
OBJ-06,Object,SIS Certification Document,Object (readable prop),High,Yes,"Readable one-page SIS certification document summary. Located in SCADA Control Room. Contains certified baseline parameters and critical claims (EN-001, EN-002, EN-007, EN-008) sourced from case_2_energy/information_pack/requirements/claims.md. Player uses to cross-reference against MG-02 live SIS values to detect tampering. Sets sis_cert_reviewed=true on first read. See new_objects_planning.md section 2.6.",MG-02,4,,,"Content directly sourced from information pack claims document; provides player with evidence to validate safety case"
TEST-MG-06,Test,Network Architecture Diagram — Integration Test,Test,High,Yes,"Verify MG-06 network diagram displays all four Purdue levels with correct systems and connection types matching information pack. Verify attack path highlighting activates on click. Verify vulnerability annotations match claims EN-001, EN-002, EN-011. Cross-reference rendered content against case_2_energy/information_pack/system_architecture/network_architecture.md for accuracy.",MG-06,3,,,"Test accuracy of information pack source material rendering; critical for SIS teaching moment"
TEST-OBJ-06,Test,SIS Certification Document — Content Verification,Test,High,Yes,"Verify OBJ-06 certification document displays all certified baseline parameters and claim summaries. Verify content matches case_2_energy/information_pack/requirements/claims.md for EN-001, EN-002, EN-007, EN-008. Cross-validate with MG-02 SIS Config display to confirm player can identify tampered values. Verify sis_cert_reviewed=true fires on first read.",OBJ-06,2,,,"Content accuracy critical for helping player understand SIS safety case and detect tampering"
