ID,Type,Task Name,Category,Priority,Draft Scenario,Description,Dependencies,Effort (hrs),Assignee,Status,Notes
OBJ-03,Object,Coverage Decision Form,Final form prop,High,Yes,"Printed 2–3 page form with three decision sections: (A) Coverage Position (radio buttons A1/A2/A3); (B) Act of War Exclusion (radio buttons Invoke/Accept + text justification); (C) Regulatory Disclosure (checkboxes FCA/PRA/NCSC). Presented at final objective. Submission to Eleanor triggers outcome dialogue. Sets coverage_position and act_of_war_decision global vars. Three outcome narratives (Full Coverage, Proportional, Denial) trigger different Eleanor responses and epilogue descriptions.",,0,,,"Print cost separate; form submission triggers outcome state variables; player's choices lock into game record"
OBJ-04,Object,Policy Binder — Renewal Decision Memo,Document artifact prop,Medium,Simplified,"Single-page memo dated November 2024 (authored by Meridian underwriting team). Located in Evidence Archive (Underwriting File Cabinet). Text: recommendation to renew with warranty conditions; acknowledgement of IT/OT segmentation deficiency; risk assessment (Moderate-to-High); mitigation (12-month remediation warranty); defensibility statement. Reading memo unlocks dialogue with Eleanor about CLAIM-INS-009 (insurer's prior knowledge of deficiency and underwriting decision-making). Sets renewal_memo_reviewed=true.",,0,,,"Print cost separate; content props for Evidence Archive; narrative artifact supporting CLAIM-INS-009"
OBJ-05,Object,NCSC Attribution Brief,Sealed envelope prop,High,Simplified,"Physical sealed envelope marked 'NCSC ATTRIBUTION BRIEF — TLP:AMBER — PRIVILEGED AND CONFIDENTIAL'. On conference table from start but cannot be opened until warranty_checklist_complete=true. Contents (2–3 pages): Attribution summary (GREYMANTLE, Sysrv-k, 70–80% confidence), legal assessment (does NOT meet English law 'act of war' threshold), implication (coverage must be maintained). Sets ncsc_brief_reviewed=true and informs act_of_war_decision dialogue. Teaching: legal vs. intelligence attribution standards; ambiguous grey zone for state-sponsored peacetime attacks.",,0,,,"Print cost separate; envelope seal mechanic validated by warranty checklist completion; content props"
OBJ-06,Object,Physical Network Architecture Diagram,Annotated pinboard prop,Medium,Simplified,"Printed Purdue Model diagram of Albion's network (sourced from case_3_cyber_insurance/information_pack/system_architecture/network_architecture.md). Mounted on pinboard in Evidence Archive. Annotated in red marker: dual-homed historian ('HIGH RISK — segmentation exception'), bidirectional jump server ('enables SCADA pivot'), no firewall isolation, 'Remediation Required Q4 2024' with red X (deadline missed). Teaching: concrete visualization of IT/OT segmentation breach (CLAIM-INS-001, CLAIM-INS-002); bridge between abstract policy and physical architecture.",,0,,,"Print cost separate; annotation with red marker on master copy; displayed in Evidence Archive location"
OBJ-07,Object,Underwriting File Cabinet,Interactive locked container,Medium,Simplified,"RFID-locked filing cabinet in Evidence Archive. Code embedded in CMS terminal (notation in original risk assessment notes). Inside: Original underwriting assessment (January 2024), signed warranty schedule, renewal decision memo (November 2024). Contents unlock dialogue with Eleanor about Meridian's pre-incident knowledge of deficiencies (CLAIM-INS-009). Sets underwriting_file_reviewed=true. Teaching: physical prop for documentary evidence; Evidence Archive design mirrors real insurance operations.",,0,,,"RFID mechanic: code obtained from CMS read unlocks cabinet; contents are narrative props"
ASSET-01,Asset,Eleanor Vance — Claims Manager Sprite,Character sprite,High,No,"Female professional character sprite (mid-40s, business attire). Animations: idle (seated at conference table, typing or reviewing documents), talk (looking at player, gesturing with pen), listen (reviewing document, occasional glance up). Headshot portrait (128×128px) for dialogue box. Sprite dimensions: match BreakEscape standard character format. Visual consistency: corporate context, controlled demeanor.","ASSET-01-PLACEHOLDER",0,,,PLACEHOLDER: Using inspector_female.png; replace with commissioned corporate professional art
ASSET-02,Asset,James Whitworth — Facility Manager Sprite,Character sprite,Medium,No,"Male professional character sprite (50s, facility manager context). For phone NPC: only headshot portrait needed (128×128px) for dialogue box. Alternatively: small sprite for optional in-person encounter in Evidence Archive (if scenario is expanded). Professional attire, tired expression (reflects operational stress).",,0,,,"Effort tracked separately by art team; phone NPC may not require full sprite; portrait only required"
ASSET-03,Asset,Meridian Claims Suite — Room Tilemap,Room tilemap,High,No,"room_meridian_claims room type. Large conference room: glass-topped table with chairs, two laptop workstations on sideboard, wall-mounted display screen showing incident timeline, whiteboard, wall clock, Lloyd's accreditation framed on wall. Sealed envelope (NCSC brief) visible on table. Exits: north door to Evidence Archive (locked, RFID-gated), south door to corridor. 12×12 tile grid. Corporate lighting. Window with city view ambient. See new_objects_planning.md Section 3.",,0,,,"Effort tracked separately by art team; minimal animation required; mostly static props"
ASSET-04,Asset,Meridian Evidence Archive — Room Tilemap,Room tilemap,Medium,No,"room_meridian_archive room type. Smaller utilitarian room: lockable metal filing cabinets (one RFID-locked: underwriting file cabinet), analysis workstation, shelves with case files, pinboard with network architecture diagram (annotated), printer/copier prop. Fluorescent lighting, no windows. 10×10 tile grid. Locked south door (RFID-gated) to claims suite. See new_objects_planning.md Section 3.",,0,,,"Effort tracked separately by art team; detailed filing cabinet and pinboard props"
TEST-NPC-01,Test Scenario,Test: Eleanor Vance Dialogue Coverage,Test,High,Yes,"Play through all major Eleanor Vance dialogue branches. Verify: Welcome Briefing fires on scenario start; Policy Review branches unlock after policy binder interaction; Warranty Discussion branches trigger correctly (one per warranty after checklist submission); Attribution Brief discussion unlocks after ncsc_brief_reviewed; Coverage Decision branches vary based on coverage_position choice (A1/A2/A3); Debrief reflects player's specific choices. Verify all #set_global and #complete_task tags fire correctly.",NPC-01,3,,,Dialogue tree verification; claim integration validation
TEST-MG-04,Test Scenario,Test: Warranty Compliance Checklist Mechanics,Test,High,Yes,"Player fills in all four warranty rows (W-03, W-07, W-09, W-12). Verify: each row can accept Compliant/Breached/Arguable tick. Verify: evidence notes field accepts player input. Verify: submission to Eleanor sets warranty_checklist_complete=true and unlocks RFID access to Evidence Archive. Verify: incomplete checklist blocks Evidence Archive access. Verify: Eleanor's confirmation dialogue references specific warranties checked.",,2,,,Form mechanics and state management validation
TEST-MG-05,Test Scenario,Test: Coverage Decision Form Outcomes,Test,High,Yes,"Player completes Coverage Decision Form with each of three coverage positions (A1/A2/A3). Verify: A1 submission triggers 'Full Coverage' Eleanor dialogue. Verify: A2 submission triggers 'Proportional Coverage' Eleanor dialogue with reduced amount (£6.1–6.5M). Verify: A3 submission triggers 'Denial' Eleanor dialogue with litigation risk warning. Verify: Act of War decisions (Invoke/Accept) correctly recorded. Verify: form submission sets coverage_position and act_of_war_decision global vars.",,2,,,Outcome branching and state variable validation
TEST-MG-02,Test Scenario,Test: Forensic Data Platform Evidence Review,Test,High,Yes,"Player reviews all FDP tabs: Attack Timeline, Jump Server Log, Historian Data, SIS Engineering Log, Domain Implant, SOC Coverage Report. Verify: each tab displays correct forensic content. Verify: cross-references to specific evidence items (c.ellison RDP session, historian falsification, SIS logging gaps, CastleTech exclusion). If Case 2 was played: verify FDP reflects Case 2 decisions (e.g., SIS configuration decisions, network isolation timeline). Verify: player can print evidence excerpts to physical printer prop.",MG-02,3,,,Cross-case continuity validation; forensic content accuracy
TEST-OBJ-01-06,Test Scenario,Test: Physical Document Prop Interactions,Test,High,Yes,"Verify each document prop interaction: Policy Binder (open/close, tab navigation, highlight visibility). Warranty Compliance Checklist (form submission, state tracking). Coverage Decision Form (section completion, radio button selection, text entry). NCSC Attribution Brief (sealed until warranty_checklist_complete; contents visible after unlock). Renewal Memo (readable in Evidence Archive; triggers Eleanor dialogue). Network Architecture Diagram (visible on pinboard; annotations legible). Verify: all state transitions set correct global variables.",OBJ-01 through OBJ-06,3,,,Prop mechanic validation; state consistency
TEST-INT-01,Test Scenario,Test: Information Pack Claims Integration,Test,High,Yes,"Verify each insurance claim is referenced in scenario. Checklist: CLAIM-INS-001 (W-07 discussion), INS-002 (SIS independence), INS-003 (W-03 safety exception), INS-004 (MSP/CastleTech), INS-005 (W-09 anomaly detection), INS-006 (evidence gaps in FDP), INS-007 (W-12 shared infrastructure), INS-008 (NCSC brief and act-of-war), INS-009 (Evidence Archive investigation). Verify: Eleanor's dialogue explicitly names each claim during relevant objective. Verify: warranty compliance assessments directly reference claim content from information pack.",,2,,,Claims integration completeness; information pack sourcing accuracy
