ID,Type,Task Name,Category,Priority,Draft Scenario,Description,Dependencies,Effort (hrs),Assignee,Status,Notes
MG-11,Minigame,Governance & Dual-Authorisation Panel,HTML/CSS minigame,High,Yes,"Two-panel PIN entry (IT Security / Clinical Engineering). itsec_authorised and clinical_eng_authorised vars. Central AUTHORISE button active only when both set. 5-minute countdown. dual_auth_failed on timeout. Extends existing PIN minigame framework.","Ravi NPC dialogue, David Osei NPC dialogue",10,,,Codes obtained from NPCs in separate rooms; core governance puzzle
MG-12,Minigame,Major Incident Command Board,HTML/CSS minigame,Medium,Simplified,"Persistent timeline display listening for global_variable_changed events. Pre-authored entries mapped to state changes including patient death events. System status panel per key system. Manual entry field for player log entries. Draft: auto-append only; animated slide-ins post-draft.",,12,,,Runs throughout scenario; no completion state; shown on wall-mounted screen
MG-13,Minigame,PACS Image Integrity Challenge,HTML/CSS minigame,Low,No,"Thumbnail grid of pixel-art medical images with metadata panels. Patient register sidebar. One mismatched patient-image association. pacs_mismatch_reported global var on correct selection. pacs_reviewed set after 3 thumbnails inspected.",,10,,,Scenario 02 content; post-draft
MG-14,Minigame,EHR Prescribing Terminal,HTML/CSS minigame,Medium,Simplified,"Patient list with allergy-flag indicators. Record panel with allergy alerts, drug interactions, and dose-range bar. ehr_status drives online/offline state. ehr_terminal_viewed_online/offline vars. Draft: offline error state only.",,12,,,Online patient record view is pre-isolation scene enhancement
MG-15,VM Challenge,Alarm Threshold Tamper Challenge,vm (Linux terminal),Low,No,"ward7_thresholds.conf with one tampered parameter (SPO2_LOW=50 instead of 90). safe_threshold_ranges.txt reference file. report_tamper.sh accepts parameter/value and sets alarm_tamper_identified=true.",,4,,,Scenario 02 content; post-draft
MG-16,Minigame,Trust Safety Case Document,Readable game object,High,Yes,"One-page safety case summary sourced from information pack (claims.md + assurance_case_overview.md). Displays three sub-goals (device integrity, clinical data, enterprise isolation) and seven key claims (HC-001, HC-003, HC-005, HC-006, HC-007 + optional HC-002, HC-004). Optional simplified GSN diagram. Prop on Major Incident Room table. David Osei points to it during safety case assessment dialogue. Uses existing readable object / modal system. Sets safety_case_document_reviewed=true on interaction.",,6,,,Direct integration of information pack content into game; grounding of safety claims in documented artefact
MG-17,Minigame,Disclosure & Regulatory Notification Console,HTML/CSS minigame,Low,No,"Three notification panels (ICO / NHS England / patients/public). Countdown timers with deadline-passed state. Editable draft templates. notified_*_early/late global vars. Consequence log updates per decision. NPC mood indicators for Caldicott Guardian and CIO.",,14,,,Post-draft; ICO notification handled via Dr Hartley NPC dialogue in draft
TEST-MG-01,Test Scenario,Test: SIEM Alert Dashboard,,High,,"Dismiss/escalate each alert type. Verify correct crits set siem_escalated=true. Verify missing crits set siem_missed_alerts=true. Verify timer expiry triggers consequence. Verify ransomware_deployed event floods panel.",MG-01,3,,,
TEST-MG-02,Test Scenario,Test: Patient Monitoring Central Station,,High,,"Verify tile alarm states respond to patient object state. Verify ward_monitor_status transitions (online→stale→offline). Verify offline state shows ransomware splash. Verify Bed 4 tile alarms when patient_bed4_state=DISTRESSED.","MG-02, OBJ-03, OBJ-04",3,,,
TEST-MG-04,Test Scenario,Test: Network Segmentation Map,,High,,"Verify diagram renders zones and devices matching information pack architecture (external/enterprise/clinical/legacy with correct device labels). Verify connection lines show firewall boundaries and dual-homed workstation bridges. Verify attack path highlighting appears in red when rules toggled. Verify consequence panel updates on each toggle. Verify SEVER button disabled until first toggle interaction. Verify confirm modal appears. Verify network_isolated=true written on confirm.",MG-04,3,,,Validate architecture visualization accuracy against information pack
TEST-MG-05,Test Scenario,Test: Ransomware Impact Display,,High,,"Verify overlay activates on ransomware_deployed=true. Verify each of three buttons writes correct global var and closes minigame. Verify countdown timer ticks.",MG-05,1,,,
TEST-MG-06,Test Scenario,Test: VPN & Geo-Anomaly Log Viewer,,High,,"Verify anomalous entry position (~line 31). Verify check_anomaly.sh rejects incorrect IPs. Verify correct IP submits flag and emits minigame_completed. Verify contractor_accounts.txt accessible.",MG-06,2,,,
TEST-MG-07,Test Scenario,Test: Backup Recovery Console,,Medium,,"Verify tile selection expands consequence panel. Verify confirm button inactive before selection. Verify NAS/tape tiles show warning. Verify cloud selection sets backup_recovery_source and recovery_eta_hours=18.","MG-07, MG-12",2,,,
TEST-MG-08,Test Scenario,Test: Bedside Infusion Pump Terminal,,High,,"Verify pump locked until paper_charts_collected=true. Verify correct dose sets pump_dose_correct. Verify wrong dose triggers double-check modal. Verify confirming wrong dose sets pump_dose_error=true. Verify cancel re-enters correctly. Test drug library tamper path (guardrail absent).","MG-08, OBJ-04, OBJ-07",3,,,Test both outcome paths: dose correct and dose error
TEST-MG-09,Test Scenario,Test: Drug Library Integrity Checker,,High,,"Verify sha256sum detects tampered library. Verify diff shows morphine DOSE_MAX change. Verify verify_library.sh accepts correct drug name and dose value. Verify drug_library_verified=true set on success.",MG-09,2,,,
TEST-MG-11,Test Scenario,Test: Dual-Authorisation Panel,,High,,"Verify AUTHORISE button inactive with only one code entered. Verify both codes required. Verify time countdown; test timeout sets dual_auth_failed=true. Verify both-authorised path sets network_isolation_authorised=true and fires downstream events.","MG-11, OBJ-01",2,,,
TEST-MG-12,Test Scenario,Test: Major Incident Command Board,,Medium,,"Verify timeline auto-appends on each mapped global state change. Verify patient death entries appear. Verify system status panel colours update correctly. Verify manual entry posts to timeline.",MG-12,2,,,Run full scenario state sequence to validate all expected entries
TEST-MG-16,Test Scenario,Test: Trust Safety Case Document,,Medium,,"Verify document readable on Major Incident Room table. Verify modal opens and displays full content (title, sub-goals, seven claims). Verify David Osei dialogue points to document during safety case assessment branches. Verify safety_case_document_reviewed=true set on reading. Verify document text matches information pack sources (claims.md + assurance_case_overview.md).",MG-16,2,,,Validate information pack content integration and NPC dialogue integration
OBJ-01,NPC,Charge Nurse Sarah Mitchell — Full Dialogue NPC,NPC (full dialogue tree),High,Yes,"Ward 7 entrance NPC. Explains monitoring loss and manual rounds situation. Escalation gatekeeper for Bed 4. Branches: normal / monitoring offline / player asks about Bed 4 / major incident / post-isolation. Dialogue updates on ward_monitor_status and major_incident global vars.",,14,,,Most complex dialogue tree; core escalation gatekeeper
OBJ-02,NPC,Patrol Nurse — Second Nurse NPC,NPC (patrol behaviour),High,Yes,"Monitoring loop: walk to central station → check screen → walk to a bed → attend → repeat. Skip station when ward_monitor_status=offline; bed-to-bed manual rounds. Break loop and rush to Bed 4 when patient_bed4_state=CRITICAL and player escalates. Erratic on major_incident=true. Single-line context-sensitive dialogue per state.",OBJ-01,8,,,Behaviour driven entirely by global vars
OBJ-03,Object,Bed 4 Patient — Cardiac (state machine),Object (state machine + sprite variants),High,Yes,"State machine: stable → resting_unmonitored → distressed → critical → (attended | deceased). Transitions: ward_monitor_status=offline triggers resting_unmonitored; timer ~10 min triggers distressed; timer ~22 min triggers critical→deceased if not escalated. Sprite variant per state. Bedside alarm animation on distressed/critical.",,8,,,Death trigger at 22-min mark if player fails to escalate to Sarah
OBJ-04,Object,Bed 2 Patient — Pump (state machine),Object (state machine + sprite variants),High,Yes,"State machine: stable → resting_unmonitored → sedated → critical → (attended | deceased). pump_dose_error=true triggers sedated. Double-jeopardy: if both pump_dose_error=true and drug_library_compromised=true, patient goes directly to critical→deceased. Sprite variant per state. IV pump amber indicator on sedated.","MG-08, MG-09",8,,,Simpler state machine than Bed 4; outcome depends on two separate minigames
OBJ-05,NPC,Chair Patient / Witness NPC — Ward 5,NPC (minimal dialogue),Medium,Yes,"Ambulatory patient in chair beside Bed 2. Two context-sensitive lines max. Default: recovering ambient line. fleet_console_status=offline: observes nurse writing by hand. pump_dose_error=true: 'Could you get someone? The patient in that bed — I don't think she looks right.' No branching; single line per state.",OBJ-04,4,,,Most dramatically effective NPC line in scenario
OBJ-06,NPC,Pharmacist NPC,NPC (patrol behaviour),Medium,Yes,"Appears on ward after drug_library_compromised=true or network_isolated=true. Patrol loop between nursing station and beds, checking doses manually. Single-line context-sensitive dialogue: references manual verification and drug library concern. Makes compensating control visible.","MG-09, MG-12",6,,,Dispatched by Helen Carver after drug library finding
OBJ-07,Prop,Paper Medication Charts — Collectible Prop,Collectible prop,High,Yes,"Prop in labelled desk drawer on Ward 7 nursing station ('MAR CHARTS — PAPER BACKUP'). Player interaction picks up stack and sets paper_charts_collected=true. Prop removed from world on collection. Required to unlock MG-08 (bedside pump terminal).",,3,,,Physical fallback procedure made tangible; required dependency for MG-08
OBJ-08,Prop,Ward Alarm Panel — State-Reactive Prop,State-reactive prop,Medium,Yes,"Wall-mounted indicator lamp panel. Amber lamp: ward_monitor_status=offline. Red flashing lamp: patient_bed4_state=CRITICAL or DECEASED. Driven by BreakEscape output system wired to global state. Visible from ward entrance. Simple physical prop.",,4,,,Low implementation cost; ambient consequence indicator on ward entry
OBJ-09,Prop,Other Bed-Bound Patients — Static Dressed Props,Static props,Low,No,"2-3 dressed bed props with occupant sprites. No state machine. Background atmosphere only — establishes ward is populated.",,2,,,Post-draft; not needed for draft scenario
OBJ-10,Prop,Corridor Warning Light — State-Reactive Prop,State-reactive prop,Low,No,"Amber/red lamp in ward corridor. Activates on major_incident=true. Atmosphere only; not on critical path.",,2,,,Post-draft
TEST-OBJ-01,Test Scenario,Test: Charge Nurse Sarah — dialogue branches,,High,,"Trigger all 5+ dialogue branches. Verify lines update correctly when ward_monitor_status changes. Verify escalation to Bed 4 triggers OBJ-02 rush behaviour. Verify major_incident mode gives brush-off line. Verify post-isolation branch unlocks correctly.","OBJ-01, OBJ-02",3,,,
TEST-OBJ-02,Test Scenario,Test: Patrol Nurse behaviour,,High,,"Verify full patrol loop (station→bed check→repeat). Verify offline mode skips station and extends bed dwell time. Verify CRITICAL state triggers rush animation and persistent attendance at Bed 4. Verify major incident mode is visibly erratic.",OBJ-02,2,,,
TEST-OBJ-03,Test Scenario,Test: Bed 4 Patient — state machine,,High,,"Verify all state transitions: ward_monitor_status=offline → resting_unmonitored; 10-min timer → distressed; 22-min unescalated → critical → deceased. Verify attended path: player escalates before death trigger. Verify sprite variant changes per state. Verify command board logs death entry.",OBJ-03,3,,,Test attended and deceased outcome paths explicitly
TEST-OBJ-04,Test Scenario,Test: Bed 2 Patient — state machine,,High,,"Verify stable→resting_unmonitored on fleet_console_status=offline. Verify pump_dose_error=true → sedated. Verify double-jeopardy: pump_dose_error AND drug_library_compromised → critical→deceased. Verify attended path on pharmacist escalation. Verify sprite variants.","OBJ-04, MG-08, MG-09",3,,,Test all three outcome paths: correct dose / dose error + library intact / dose error + library compromised
TEST-OBJ-05,Test Scenario,Test: Chair Patient / Witness NPC,,Medium,,"Verify default line on scenario start. Verify fleet_console_status=offline triggers second line. Verify pump_dose_error=true triggers witness alert line. Verify no branching (single line per state).","OBJ-05, OBJ-04",1,,,
TEST-OBJ-06,Test Scenario,Test: Pharmacist NPC patrol and dialogue,,Medium,,"Verify NPC absent until trigger condition met (drug_library_compromised or network_isolated). Verify patrol loop between nursing station and beds. Verify dialogue line references correct situation. Verify NPC does not appear prematurely.",OBJ-06,2,,,
TEST-OBJ-07,Test Scenario,Test: Paper Medication Charts prop,,High,,"Verify pickup interaction sets paper_charts_collected=true. Verify MG-08 pump terminal locked until paper_charts_collected=true and unlocks after. Verify prop removed from world after collection.",OBJ-07,1,,,
TEST-OBJ-08,Test Scenario,Test: Ward Alarm Panel state transitions,,Medium,,"Verify amber lamp activates on ward_monitor_status=offline. Verify red lamp activates on patient_bed4_state=CRITICAL. Verify red lamp stays on for DECEASED. Verify panel is visible from ward entrance spawn position.",OBJ-08,1,,,
OBJ-11,NPC,Ravi Anand — IT Security Lead NPC,NPC (full dialogue tree),High,Yes,"IT Security Office NPC. Explains SIEM alert context and VPN anomaly. Knots: start / siem_briefing / vpn_briefing / give_itsec_code / post_isolation. PIN (itsec_pin) released only when siem_escalated=true AND vpn_anomaly_identified=true. Sets itsec_authorised=true via Ink. eventMappings: reacts to network_isolated.",,10,,,Second most complex dialogue tree after Sarah; gatekeeper for IT-side of dual-auth
OBJ-12,NPC,David Osei — Clinical Safety Engineer NPC,NPC (full dialogue tree),High,Yes,"Major Incident Room / IT Office NPC. Safety case advisor for CLAIM-HC-001 and CLAIM-HC-003. Knots: start / safety_case_hc001 / give_clinical_code / safety_case_hc003 / post_isolation. Clinical PIN released only after hc001_assessed=true. Sets clinical_authorised=true via Ink. Sets hc001_claim_assessed and hc003_claim_assessed global vars.",,10,,,Educates player on safety case reasoning before authorising isolation; gatekeeper for clinical side of dual-auth
OBJ-13,NPC,Helen Carver — Information Governance Lead NPC,NPC (full dialogue tree),High,Yes,"Major Incident Room NPC. ICO 72-hour clock briefing; backup recovery advisory; CLAIM-HC-007 review. Knots: start / backup_advisory / safety_case_hc007 / ico_advisory / post_isolation / post_backup. Sets ico_notification_sent=true via Ink. Triggers pharmacist_on_ward=true eventMapping. Reads network_isolated for ICO sign-off condition.",,8,,,Introduces legal/regulatory thread; ICO deadline is the parallel time-pressure to patient safety
OBJ-14,NPC,Dr Fiona Hartley — Clinical Director NPC,NPC (dialogue tree),Medium,Yes,"Major Incident Room NPC. Patient data accountability; disclosure law explainer; Major Incident declaration. Knots: start / patient_data / disclosure_law / post_ico / deadline_missed. Sets major_incident_declared=true via Ink. deadline_missed knot triggers if ico_deadline_missed=true. Reads ico_notification_sent, restore_operations.",,6,,,Medium priority; adds regulatory weight and Major Incident decision; deadline_missed path is negative consequence branch
OBJ-15,NPC,Dr Priya Sharma — NCSC Investigator NPC,NPC (full dialogue tree),High,Yes,"Major Incident Room NPC. Post-incident debrief. Knots: start / patient_outcomes / safety_claims / regulatory / root_cause / closing. Reads all outcome globals (bed4_escalated, drug_library_restored, ico_notification_sent, hc001/3/7_claim_assessed, vpn_anomaly_identified). Closing question synthesises learning. Sets debrief_complete=true via Ink. Triggered when debrief_started=true.",OBJ-11,12,,,Most pedagogically important NPC; closing scene synthesises all SIS learning outcomes; must read all consequence globals
OBJ-16,NPC,Chair Patient / Witness NPC,NPC (minimal dialogue),Medium,Yes,"Ward 7 NPC beside Bed 2. No branching — single context-sensitive line per state. start: ambient recovering line. pump_concern knot triggered by pump_dose_error=true: witness alert line. Sprite: female_blowse.",OBJ-04,3,,,Most dramatically effective NPC line in scenario; no full tree needed
OBJ-17,NPC,Pharmacist NPC,NPC (patrol + minimal dialogue),Medium,Yes,"Ward 7 NPC. Initially hidden; revealed when pharmacist_on_ward=true (set by Helen Carver eventMapping on drug_library_compromised or network_isolated). Patrol loop: nursing station → Bed 2 → Bed 4 → nursing station. start: manual check line. post_drug_restored after drug_library_restored=true.",OBJ-13,5,,,
SPRITE-01,Asset,Character sprites — Clinical staff set,Commissioned artwork,High,No,"Dark blue NHS scrubs nurse sprite (two variants: charge nurse with coloured badge stripe / staff nurse). Clinical engineer sprite (smart casual, NHS lanyard). NCSC investigator sprite (dark suit, NCSC lanyard). All in BreakEscape spritesheet format.",,0,,,Effort tracked separately by art team; blocking for visual fidelity
SPRITE-02,Asset,Ward room tile map — room_ward,Commissioned artwork,High,No,"Open Nightingale bay: 6 beds with curtain rails, nursing station alcove at south end, wall-mounted monitor screen, ward entrance north end. 10×14 tiles. Must match BreakEscape tile format.",,0,,,Blocking for authentic ward feel; currently room_office is used as placeholder
AUDIO-01,Asset,Hospital ambient audio loop,Audio production,Medium,No,"Quiet rhythmic beeping, soft footsteps on vinyl floor, occasional muffled PA announcement. No music. Low volume. Key: hospital_ambient. Loop-safe.",,0,,,
ENG-01,Engine,Dr Sharma NPC reveal — show NPC engine action,BreakEscape engine,Medium,Yes,"Engine currently supports initiallyHidden:true but has no matching show-NPC event action. Required for Dr Sharma who is hidden until debrief_started=true. Candidate workaround: second-room unlock pattern (Sharma placed in locked room that opens on restore_operations aim complete). Document chosen approach in scenario_implementation_notes.md.",OBJ-15,4,,,See scenario_implementation_notes.md Known Limitations section
ENG-02,Engine,Patrol interrupt-to-waypoint event action,BreakEscape engine,Medium,Yes,"Patrol nurse needs to abandon current patrol loop and path directly to Bed 4 when bed4_escalated=true. Current engine supports waypoint loops but not mid-loop conditional rerouting. Candidate workaround: second hidden NPC variant with single-point waypoint revealed on event; original NPC hidden simultaneously.",OBJ-02,4,,,See scenario_implementation_notes.md Known Limitations section
TEST-OBJ-09,Test Scenario,Test: Chair Patient / Witness NPC,,Medium,,"Verify default line on scenario start. Verify pump_dose_error=true triggers pump_concern knot and witness alert line. Verify NPC has no branching dialogue — single line per state.",OBJ-16,1,,,
TEST-OBJ-10,Test Scenario,Test: Pharmacist NPC patrol and dialogue,,Medium,,"Verify NPC absent (initiallyHidden) until pharmacist_on_ward=true. Verify patrol loop activates correctly on reveal. Verify start knot dialogue correct. Verify post_drug_restored knot triggers on drug_library_restored=true.",OBJ-17,2,,,
TEST-OBJ-11,Test Scenario,Test: Ward Alarm Panel (ERB object),,Medium,,"Verify alarm_panel object renders in ward_7. Verify amber state on ward_monitor_status=offline. Verify red state on patient_bed4_state=CRITICAL and DECEASED. Verify non-interactable.",OBJ-08,1,,,
TEST-OBJ-12,Test Scenario,Test: EHR Terminal offline state,,Low,,"Verify ehr_terminal shows SYSTEM UNAVAILABLE message. Verify ehr_terminal_viewed_offline=true set on interaction. Verify player cannot access patient records. Verify handover notes direct player to paper MAR charts.",MG-14,1,,,
